"","gene_name","KO_ID","gene_des","EC","ENTREZID","pathway_id","pathway_name","level1_pathway_name","level2_pathway_name"
"1","HK3","K00844","hexokinase 3","2.7.1.1","3101","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"2","HK1","K00844","hexokinase 1","2.7.1.1","3098","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"3","HK2","K00844","hexokinase 2","2.7.1.1","3099","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"4","HKDC1","K00844","hexokinase domain containing 1","2.7.1.1","80201","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"5","GCK","K12407","glucokinase","2.7.1.2","2645","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"6","GPI","K01810","glucose-6-phosphate isomerase","5.3.1.9","2821","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"7","PFKM","K00850","phosphofructokinase, muscle","2.7.1.11","5213","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"8","PFKP","K00850","phosphofructokinase, platelet","2.7.1.11","5214","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"9","PFKL","K00850","phosphofructokinase, liver type","2.7.1.11","5211","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"10","FBP1","K03841","fructose-bisphosphatase 1","3.1.3.11","2203","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"11","FBP2","K03841","fructose-bisphosphatase 2","3.1.3.11","8789","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"12","ALDOC","K01623","aldolase, fructose-bisphosphate C","4.1.2.13","230","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"13","ALDOA","K01623","aldolase, fructose-bisphosphate A","4.1.2.13","226","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"14","ALDOB","K01623","aldolase, fructose-bisphosphate B","4.1.2.13","229","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"15","TPI1","K01803","triosephosphate isomerase 1","5.3.1.1","7167","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"16","GAPDH","K00134","glyceraldehyde-3-phosphate dehydrogenase","1.2.1.12","2597","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"17","GAPDHS","K10705","glyceraldehyde-3-phosphate dehydrogenase, spermatogenic","1.2.1.12","26330","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"18","PGK2","K00927","phosphoglycerate kinase 2","2.7.2.3","5232","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"19","PGK1","K00927","phosphoglycerate kinase 1","2.7.2.3","5230","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
"20","PGAM1","K01834","phosphoglycerate mutase 1","5.4.2.11","5223","hsa00010","Glycolysis / Gluconeogenesis","Metabolism","Carbohydrate metabolism"
