ENTRY,NAME,DEFINITION,EQUATION,ENZYME,BRITE,RHEA,COMMENT,RCLASS,PATHWAY,ORTHOLOGY,MODULE,REMARK,REFERENCE
R00001,polyphosphate polyphosphohydrolase,Polyphosphate + n H2O <=> (n+1) Oligophosphate,C00404 + n C00001 <=> (n+1) C02174,3.6.1.10,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.10///     R00001  Polyphosphate + n H2O <=> (n+1) Oligophosphate,22455,,,,,,,
R00002,reduced ferredoxin:dinitrogen oxidoreductase (ATP-hydrolysing),16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin,16 C00002 + 16 C00001 + 8 C00138 <=> 8 C05359 + 16 C00009 + 16 C00008 + 8 C00139,1.18.6.1,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.18  Acting on iron-sulfur proteins as donors///   1.18.6  With dinitrogen as acceptor///    1.18.6.1///     R00002  16 ATP + 16 H2O + 8 Reduced ferredoxin <=> 8 e- + 16 Orthophosphate + 16 ADP + 8 Oxidized ferredoxin,,"a part of multi-step reaction (see R05185, R00002+R00067+R00153+R02802+R04782)",RC00002  C00002_C00008,,,,,
R00004,diphosphate phosphohydrolase;///pyrophosphate phosphohydrolase,Diphosphate + H2O <=> 2 Orthophosphate,C00013 + C00001 <=> 2 C00009,3.6.1.1,Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.6  Acting on acid anhydrides///   3.6.1  In phosphorus-containing anhydrides///    3.6.1.1///     R00004  Diphosphate + H2O <=> 2 Orthophosphate,24579,,,,,,,
R00005,urea-1-carboxylate amidohydrolase,Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia,C01010 + C00001 <=> 2 C00011 + 2 C00014,3.5.1.54,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.5  Acting on carbon-nitrogen bonds, other than peptide bonds///   3.5.1  In linear amides///    3.5.1.54///     R00005  Urea-1-carboxylate + H2O <=> 2 CO2 + 2 Ammonia",19032,"The yeast enzyme (but not that from green algae) also catalyses the///reaction of EC 6.3.4.6 urea carboxylase, thus bringing about the///hydrolysis of urea to CO2 and NH3 in the presence of ATP and///bicarbonate.///R00774 (6.3.4.6)",RC02756  C00011_C01010,rn00220: Arginine biosynthesis///rn00791: Atrazine degradation///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites///rn01120: Microbial metabolism in diverse environments,allophanate hydrolase [EC:3.5.1.54]///urea carboxylase / allophanate hydrolase [EC:6.3.4.6 3.5.1.54],,,
R00006,pyruvate:pyruvate acetaldehydetransferase (decarboxylating);///2-acetolactate pyruvate-lyase (carboxylating),2-Acetolactate + CO2 <=> 2 Pyruvate,C00900 + C00011 <=> 2 C00022,2.2.1.6,Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.2  Transferring aldehyde or ketonic groups///   2.2.1  Transketolases and transaldolases///    2.2.1.6///     R00006  2-Acetolactate + CO2 <=> 2 Pyruvate///IUBMB reaction hierarchy [BR:br08202]/// 2. Transferase reactions///  2.2.1.6///   R00006  2-Acetolactate,,TPP-dependent enzymatic reaction (R00014+R03050),RC00106  C00022_C00900,,acetolactate synthase I/II/III large subunit [EC:2.2.1.6]///acetolactate synthase I/III small subunit [EC:2.2.1.6]///acetolactate synthase II small subunit [EC:2.2.1.6],,,
R00008,4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming),Parapyruvate <=> 2 Pyruvate,C06033 <=> 2 C00022,4.1.3.17,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.3  Oxo-acid-lyases///    4.1.3.17///     R00008  Parapyruvate <=> 2 Pyruvate,22751,,RC00502  C00022_C06033///RC01205  C00022_C06033,rn00362: Benzoate degradation///rn00660: C5-Branched dibasic acid metabolism///rn01100: Metabolic pathways///rn01120: Microbial metabolism in diverse environments,4-hydroxy-4-methyl-2-oxoglutarate aldolase [EC:4.1.3.17],,,
R00009,hydrogen-peroxide:hydrogen-peroxide oxidoreductase,2 Hydrogen peroxide <=> Oxygen + 2 H2O,2 C00027 <=> C00007 + 2 C00001,1.11.1.6///1.11.1.21,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.6///     R00009  2 Hydrogen peroxide <=> Oxygen + 2 H2O///    1.11.1.21///     R00009  2 Hydrogen peroxide <=> Oxygen + 2 H2O,20312,,RC02755  C00007_C00027,rn00630: Glyoxylate and dicarboxylate metabolism///rn01110: Biosynthesis of secondary metabolites///rn01200: Carbon metabolism,catalase [EC:1.11.1.6],Photorespiration,,
R00010,"alpha,alpha-trehalose glucohydrolase","alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",C01083 + C00001 <=> 2 C00031,3.2.1.28,"Enzymatic reactions [BR:br08201]/// 3. Hydrolase reactions///  3.2  Glycosylases///   3.2.1  Glycosidases, i.e. enzymes that hydrolyse O- and S-glycosyl compounds///    3.2.1.28///     R00010  alpha,alpha-Trehalose + H2O <=> 2 D-Glucose",32678,,RC00049  C00031_C01083,rn00500: Starch and sucrose metabolism///rn01100: Metabolic pathways///rn01110: Biosynthesis of secondary metabolites,"alpha,alpha-trehalase [EC:3.2.1.28]///alpha,alpha-trehalase [EC:3.2.1.28]",,Same as: R06103,
R00011,Mn(II):hydrogen-peroxide oxidoreductase,2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,2 C19610 + C00027 + 2 C00080 <=> 2 C19611 + 2 C00001,1.11.1.13///1.11.1.16,Enzymatic reactions [BR:br08201]/// 1. Oxidoreductase reactions///  1.11  Acting on a peroxide as acceptor///   1.11.1  Peroxidases///    1.11.1.13///     R00011  2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O///    1.11.1.16///     R00011  2 Manganese(2+) + Hydrogen peroxide + 2 H+ <=> 2 Manganese(3+) + 2 H2O,22779,,,,,,,
R00012,GTP:GTP guanylyltransferase,"2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",2 C00044 <=> C00013 + C01261,2.7.7.45,"Enzymatic reactions [BR:br08201]/// 2. Transferase reactions///  2.7  Transferring phosphorus-containing groups///   2.7.7  Nucleotidyltransferases///    2.7.7.45///     R00012  2 GTP <=> Diphosphate + P1,P4-Bis(5'-guanosyl) tetraphosphate",18156,,RC00002  C00044_C01261,,,,,
R00013,glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming),2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2,2 C00048 <=> C01146 + C00011,4.1.1.47,Enzymatic reactions [BR:br08201]/// 4. Lyase reactions///  4.1  Carbon-carbon lyases///   4.1.1  Carboxy-lyases///    4.1.1.47///     R00013  2 Glyoxylate <=> 2-Hydroxy-3-oxopropanoate + CO2,10139,,RC00899  C00048_C01146,rn00630: Glyoxylate and dicarboxylate metabolism///rn01100: Metabolic pathways,tartronate-semialdehyde synthase [EC:4.1.1.47],,,
